data,linha,sigla,estacao,fluxo,ano
2023-09-29,1-AZUL,JAB,Jabaquara,71200,2023
2023-09-30,1-AZUL,JAB,Jabaquara,45000,2023
2023-10-01,1-AZUL,JAB,Jabaquara,27200,2023
2023-10-02,1-AZUL,JAB,Jabaquara,70400,2023
2023-10-04,1-AZUL,JAB,Jabaquara,68700,2023
2023-10-05,1-AZUL,JAB,Jabaquara,70800,2023
2023-10-06,1-AZUL,JAB,Jabaquara,72800,2023
2023-10-07,1-AZUL,JAB,Jabaquara,47300,2023
2023-10-08,1-AZUL,JAB,Jabaquara,29800,2023
2023-10-09,1-AZUL,JAB,Jabaquara,70000,2023
2023-10-10,1-AZUL,JAB,Jabaquara,72200,2023
2023-10-11,1-AZUL,JAB,Jabaquara,75200,2023
2023-10-12,1-AZUL,JAB,Jabaquara,23000,2023
2023-10-13,1-AZUL,JAB,Jabaquara,53300,2023
2023-10-14,1-AZUL,JAB,Jabaquara,42600,2023
2023-10-15,1-AZUL,JAB,Jabaquara,35400,2023
2023-10-16,1-AZUL,JAB,Jabaquara,72200,2023
2023-10-17,1-AZUL,JAB,Jabaquara,68800,2023
2023-10-18,1-AZUL,JAB,Jabaquara,62500,2023
2023-10-19,1-AZUL,JAB,Jabaquara,70100,2023
2023-10-20,1-AZUL,JAB,Jabaquara,70200,2023
2023-10-21,1-AZUL,JAB,Jabaquara,44900,2023
2023-10-22,1-AZUL,JAB,Jabaquara,31000,2023
2023-10-23,1-AZUL,JAB,Jabaquara,69800,2023
2023-10-24,1-AZUL,JAB,Jabaquara,70100,2023
2023-10-25,1-AZUL,JAB,Jabaquara,69600,2023
2023-10-26,1-AZUL,JAB,Jabaquara,68800,2023
2023-10-27,1-AZUL,JAB,Jabaquara,70100,2023
2023-10-28,1-AZUL,JAB,Jabaquara,45800,2023
2023-10-29,1-AZUL,JAB,Jabaquara,29400,2023
2023-10-30,1-AZUL,JAB,Jabaquara,69200,2023
2023-10-31,1-AZUL,JAB,Jabaquara,69700,2023
2023-11-01,1-AZUL,JAB,Jabaquara,71900,2023
2023-11-02,1-AZUL,JAB,Jabaquara,29500,2023
2023-11-03,1-AZUL,JAB,Jabaquara,54600,2023
2023-11-04,1-AZUL,JAB,Jabaquara,43500,2023
2023-11-05,1-AZUL,JAB,Jabaquara,34300,2023
2023-11-06,1-AZUL,JAB,Jabaquara,72200,2023
2023-11-07,1-AZUL,JAB,Jabaquara,72200,2023
2023-11-08,1-AZUL,JAB,Jabaquara,73100,2023
2023-11-09,1-AZUL,JAB,Jabaquara,73000,2023
2023-11-10,1-AZUL,JAB,Jabaquara,74200,2023
2023-11-11,1-AZUL,JAB,Jabaquara,49000,2023
2023-11-12,1-AZUL,JAB,Jabaquara,39500,2023
2023-11-13,1-AZUL,JAB,Jabaquara,74300,2023
2023-11-14,1-AZUL,JAB,Jabaquara,73200,2023
2023-11-15,1-AZUL,JAB,Jabaquara,34400,2023
2023-11-16,1-AZUL,JAB,Jabaquara,72100,2023
2023-11-17,1-AZUL,JAB,Jabaquara,73100,2023
2023-11-18,1-AZUL,JAB,Jabaquara,46900,2023
2023-11-19,1-AZUL,JAB,Jabaquara,29200,2023
2023-11-20,1-AZUL,JAB,Jabaquara,47000,2023
2023-11-21,1-AZUL,JAB,Jabaquara,77100,2023
2023-11-22,1-AZUL,JAB,Jabaquara,73000,2023
2023-11-23,1-AZUL,JAB,Jabaquara,70800,2023
2023-11-24,1-AZUL,JAB,Jabaquara,72400,2023
2023-11-25,1-AZUL,JAB,Jabaquara,44700,2023
2023-11-26,1-AZUL,JAB,Jabaquara,32600,2023
2023-11-27,1-AZUL,JAB,Jabaquara,71300,2023
2023-11-29,1-AZUL,JAB,Jabaquara,72400,2023
2023-11-30,1-AZUL,JAB,Jabaquara,81300,2023
2023-12-01,1-AZUL,JAB,Jabaquara,82300,2023
2023-12-02,1-AZUL,JAB,Jabaquara,61400,2023
2023-12-03,1-AZUL,JAB,Jabaquara,44900,2023
2023-12-04,1-AZUL,JAB,Jabaquara,73600,2023
2023-12-05,1-AZUL,JAB,Jabaquara,72400,2023
2023-12-06,1-AZUL,JAB,Jabaquara,72300,2023
2023-12-07,1-AZUL,JAB,Jabaquara,73100,2023
2023-12-08,1-AZUL,JAB,Jabaquara,74300,2023
2023-12-09,1-AZUL,JAB,Jabaquara,54600,2023
2023-12-10,1-AZUL,JAB,Jabaquara,39900,2023
2023-12-11,1-AZUL,JAB,Jabaquara,71700,2023
2023-12-12,1-AZUL,JAB,Jabaquara,76800,2023
2023-12-13,1-AZUL,JAB,Jabaquara,71000,2023
2023-12-14,1-AZUL,JAB,Jabaquara,71300,2023
2023-12-15,1-AZUL,JAB,Jabaquara,72900,2023
2023-12-16,1-AZUL,JAB,Jabaquara,53700,2023
