data,linha,sigla,estacao,fluxo
2025-10-18,1-AZUL,JAB,Jabaquara,43000
2025-10-19,1-AZUL,JAB,Jabaquara,28000
2025-10-20,1-AZUL,JAB,Jabaquara,68900
2025-10-21,1-AZUL,JAB,Jabaquara,68400
2025-10-22,1-AZUL,JAB,Jabaquara,68700
2025-10-23,1-AZUL,JAB,Jabaquara,69900
2025-10-24,1-AZUL,JAB,Jabaquara,69500
2025-10-25,1-AZUL,JAB,Jabaquara,47000
2025-10-26,1-AZUL,JAB,Jabaquara,33800
2025-10-27,1-AZUL,JAB,Jabaquara,62500
2025-10-28,1-AZUL,JAB,Jabaquara,69200
2025-10-29,1-AZUL,JAB,Jabaquara,66800
2025-10-30,1-AZUL,JAB,Jabaquara,68800
2025-10-31,1-AZUL,JAB,Jabaquara,69000
2025-11-01,1-AZUL,JAB,Jabaquara,43700
2025-11-02,1-AZUL,JAB,Jabaquara,24900
2025-11-03,1-AZUL,JAB,Jabaquara,69200
2025-11-04,1-AZUL,JAB,Jabaquara,71300
2025-11-05,1-AZUL,JAB,Jabaquara,70700
2025-11-06,1-AZUL,JAB,Jabaquara,70700
2025-11-07,1-AZUL,JAB,Jabaquara,72600
2025-11-08,1-AZUL,JAB,Jabaquara,43800
2025-11-09,1-AZUL,JAB,Jabaquara,32900
2025-11-10,1-AZUL,JAB,Jabaquara,70900
2025-11-11,1-AZUL,JAB,Jabaquara,71400
2025-11-12,1-AZUL,JAB,Jabaquara,71100
2025-11-13,1-AZUL,JAB,Jabaquara,70900
2025-11-14,1-AZUL,JAB,Jabaquara,73600
2025-11-15,1-AZUL,JAB,Jabaquara,44100
2025-11-16,1-AZUL,JAB,Jabaquara,35900
2025-11-17,1-AZUL,JAB,Jabaquara,70600
2025-11-18,1-AZUL,JAB,Jabaquara,70000
2025-11-19,1-AZUL,JAB,Jabaquara,74200
2025-11-20,1-AZUL,JAB,Jabaquara,37800
2025-11-21,1-AZUL,JAB,Jabaquara,56300
2025-11-22,1-AZUL,JAB,Jabaquara,47300
2025-11-23,1-AZUL,JAB,Jabaquara,38900
2025-11-24,1-AZUL,JAB,Jabaquara,70800
2025-11-25,1-AZUL,JAB,Jabaquara,70900
2025-11-26,1-AZUL,JAB,Jabaquara,70700
2025-11-27,1-AZUL,JAB,Jabaquara,72500
2025-11-28,1-AZUL,JAB,Jabaquara,72800
2025-11-29,1-AZUL,JAB,Jabaquara,50300
2025-11-30,1-AZUL,JAB,Jabaquara,38500
2025-12-01,1-AZUL,JAB,Jabaquara,72200
2025-12-02,1-AZUL,JAB,Jabaquara,70400
2025-12-03,1-AZUL,JAB,Jabaquara,74100
2025-12-04,1-AZUL,JAB,Jabaquara,78000
2025-12-05,1-AZUL,JAB,Jabaquara,81300
2025-12-06,1-AZUL,JAB,Jabaquara,62400
2025-12-07,1-AZUL,JAB,Jabaquara,49800
2025-12-08,1-AZUL,JAB,Jabaquara,70700
2025-12-09,1-AZUL,JAB,Jabaquara,69000
2025-12-10,1-AZUL,JAB,Jabaquara,67500
2025-12-11,1-AZUL,JAB,Jabaquara,68900
2025-12-12,1-AZUL,JAB,Jabaquara,69600
2025-12-13,1-AZUL,JAB,Jabaquara,47200
2025-12-14,1-AZUL,JAB,Jabaquara,35000
2025-12-15,1-AZUL,JAB,Jabaquara,68400
2025-12-16,1-AZUL,JAB,Jabaquara,68500
2025-12-17,1-AZUL,JAB,Jabaquara,67200
2025-12-18,1-AZUL,JAB,Jabaquara,67200
2025-12-19,1-AZUL,JAB,Jabaquara,69700
2025-12-20,1-AZUL,JAB,Jabaquara,50700
2025-12-21,1-AZUL,JAB,Jabaquara,36500
2025-12-22,1-AZUL,JAB,Jabaquara,61800
2025-12-23,1-AZUL,JAB,Jabaquara,59000
2025-12-24,1-AZUL,JAB,Jabaquara,31900
2025-12-25,1-AZUL,JAB,Jabaquara,21400
2025-12-26,1-AZUL,JAB,Jabaquara,46200
2025-12-27,1-AZUL,JAB,Jabaquara,37100
2025-12-28,1-AZUL,JAB,Jabaquara,30700
2025-12-29,1-AZUL,JAB,Jabaquara,48900
2025-12-30,1-AZUL,JAB,Jabaquara,45600
2025-12-31,1-AZUL,JAB,Jabaquara,30700
2025-01-01,1-AZUL,CON,Conceição,4300
2025-01-02,1-AZUL,CON,Conceição,14500
2025-01-03,1-AZUL,CON,Conceição,15200
2025-01-04,1-AZUL,CON,Conceição,10000
2025-01-05,1-AZUL,CON,Conceição,6600
2025-01-06,1-AZUL,CON,Conceição,24600
2025-01-07,1-AZUL,CON,Conceição,25800
2025-01-08,1-AZUL,CON,Conceição,26300
2025-01-09,1-AZUL,CON,Conceição,25600
2025-01-10,1-AZUL,CON,Conceição,22200
2025-01-11,1-AZUL,CON,Conceição,12300
2025-01-12,1-AZUL,CON,Conceição,7600
2025-01-13,1-AZUL,CON,Conceição,26500
2025-01-14,1-AZUL,CON,Conceição,28200
2025-01-15,1-AZUL,CON,Conceição,28100
2025-01-16,1-AZUL,CON,Conceição,27400
2025-01-17,1-AZUL,CON,Conceição,23200
2025-01-18,1-AZUL,CON,Conceição,12600
2025-01-19,1-AZUL,CON,Conceição,7600
2025-01-20,1-AZUL,CON,Conceição,27300
2025-01-21,1-AZUL,CON,Conceição,29000
2025-01-22,1-AZUL,CON,Conceição,28900
2025-01-23,1-AZUL,CON,Conceição,28300
2025-01-24,1-AZUL,CON,Conceição,23300
2025-01-25,1-AZUL,CON,Conceição,10700
2025-01-26,1-AZUL,CON,Conceição,7100
2025-01-27,1-AZUL,CON,Conceição,27400
2025-01-28,1-AZUL,CON,Conceição,29200
2025-01-29,1-AZUL,CON,Conceição,27600
2025-01-30,1-AZUL,CON,Conceição,28200
2025-01-31,1-AZUL,CON,Conceição,24400
2025-02-01,1-AZUL,CON,Conceição,12200
2025-02-02,1-AZUL,CON,Conceição,7100
2025-02-03,1-AZUL,CON,Conceição,27800
2025-02-04,1-AZUL,CON,Conceição,31100
2025-02-05,1-AZUL,CON,Conceição,31100
2025-02-06,1-AZUL,CON,Conceição,30600
2025-02-07,1-AZUL,CON,Conceição,25800
2025-02-08,1-AZUL,CON,Conceição,14000
2025-02-09,1-AZUL,CON,Conceição,8200
2025-02-10,1-AZUL,CON,Conceição,29900
2025-02-11,1-AZUL,CON,Conceição,32300
2025-02-12,1-AZUL,CON,Conceição,32300
2025-02-13,1-AZUL,CON,Conceição,30800
2025-02-14,1-AZUL,CON,Conceição,26000
2025-02-15,1-AZUL,CON,Conceição,12500
2025-02-16,1-AZUL,CON,Conceição,7200
2025-02-17,1-AZUL,CON,Conceição,30200
2025-02-18,1-AZUL,CON,Conceição,31900
2025-02-19,1-AZUL,CON,Conceição,31800
2025-02-20,1-AZUL,CON,Conceição,31300
2025-02-21,1-AZUL,CON,Conceição,26600
2025-02-22,1-AZUL,CON,Conceição,14200
2025-02-23,1-AZUL,CON,Conceição,8100
2025-02-24,1-AZUL,CON,Conceição,30100
2025-02-25,1-AZUL,CON,Conceição,32000
2025-02-26,1-AZUL,CON,Conceição,31700
2025-02-27,1-AZUL,CON,Conceição,30700
2025-02-28,1-AZUL,CON,Conceição,25600
2025-03-01,1-AZUL,CON,Conceição,12700
2025-03-02,1-AZUL,CON,Conceição,8100
2025-03-03,1-AZUL,CON,Conceição,11200
2025-03-04,1-AZUL,CON,Conceição,9100
2025-03-05,1-AZUL,CON,Conceição,18600
2025-03-06,1-AZUL,CON,Conceição,29600
2025-03-07,1-AZUL,CON,Conceição,26700
2025-03-08,1-AZUL,CON,Conceição,13900
2025-03-09,1-AZUL,CON,Conceição,8000
2025-03-10,1-AZUL,CON,Conceição,31200
2025-03-11,1-AZUL,CON,Conceição,33000
2025-03-12,1-AZUL,CON,Conceição,32700
2025-03-13,1-AZUL,CON,Conceição,31600
2025-03-14,1-AZUL,CON,Conceição,27300
2025-03-15,1-AZUL,CON,Conceição,13500
2025-03-16,1-AZUL,CON,Conceição,7600
2025-03-17,1-AZUL,CON,Conceição,30400
2025-03-18,1-AZUL,CON,Conceição,31300
2025-03-19,1-AZUL,CON,Conceição,32000
2025-03-20,1-AZUL,CON,Conceição,32000
2025-03-21,1-AZUL,CON,Conceição,27100
2025-03-22,1-AZUL,CON,Conceição,13600
2025-03-23,1-AZUL,CON,Conceição,7400
2025-03-24,1-AZUL,CON,Conceição,30900
2025-03-25,1-AZUL,CON,Conceição,32500
2025-03-26,1-AZUL,CON,Conceição,30500
2025-03-27,1-AZUL,CON,Conceição,32300
2025-03-28,1-AZUL,CON,Conceição,27600
2025-03-29,1-AZUL,CON,Conceição,13600
2025-03-30,1-AZUL,CON,Conceição,7800
2025-03-31,1-AZUL,CON,Conceição,29900
2025-04-01,1-AZUL,CON,Conceição,32100
2025-04-02,1-AZUL,CON,Conceição,32300
2025-04-03,1-AZUL,CON,Conceição,30600
2025-04-04,1-AZUL,CON,Conceição,26200
2025-04-05,1-AZUL,CON,Conceição,13300
2025-04-06,1-AZUL,CON,Conceição,8100
2025-04-07,1-AZUL,CON,Conceição,30700
2025-04-08,1-AZUL,CON,Conceição,32600
2025-04-09,1-AZUL,CON,Conceição,32300
2025-04-10,1-AZUL,CON,Conceição,31000
2025-04-11,1-AZUL,CON,Conceição,27400
2025-04-12,1-AZUL,CON,Conceição,14300
2025-04-13,1-AZUL,CON,Conceição,7900
2025-04-14,1-AZUL,CON,Conceição,30600
2025-04-15,1-AZUL,CON,Conceição,32500
2025-04-16,1-AZUL,CON,Conceição,32400
2025-04-17,1-AZUL,CON,Conceição,30000
2025-04-18,1-AZUL,CON,Conceição,8200
2025-04-19,1-AZUL,CON,Conceição,10700
2025-04-20,1-AZUL,CON,Conceição,6700
2025-04-21,1-AZUL,CON,Conceição,7800
2025-04-22,1-AZUL,CON,Conceição,30700
2025-04-23,1-AZUL,CON,Conceição,31600
2025-04-24,1-AZUL,CON,Conceição,31400
2025-04-25,1-AZUL,CON,Conceição,25800
2025-04-26,1-AZUL,CON,Conceição,13200
2025-04-27,1-AZUL,CON,Conceição,7600
2025-04-28,1-AZUL,CON,Conceição,29900
2025-04-29,1-AZUL,CON,Conceição,31700
2025-04-30,1-AZUL,CON,Conceição,30300
2025-05-01,1-AZUL,CON,Conceição,9000
2025-05-02,1-AZUL,CON,Conceição,18300
2025-05-03,1-AZUL,CON,Conceição,12400
2025-05-04,1-AZUL,CON,Conceição,7500
2025-05-05,1-AZUL,CON,Conceição,30100
2025-05-06,1-AZUL,CON,Conceição,32300
